"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2024-03-01","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-02","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-03","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-04","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-05","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-06","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-07","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-08","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-09","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-10","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-11","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-12","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-13","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-14","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-15","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-16","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-17","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-18","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-19","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-20","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-21","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-22","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-23","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-24","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-25","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-26","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-27","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-28","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-30","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-31","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2024-03-29","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-01","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-02","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-03","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-04","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-05","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-06","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-07","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-08","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-09","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-10","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-11","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-12","2024","03","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-03-13","2024","03","NA","NRSC VIC MODEL"
